OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,,128127360
11-0000,Management occupations,major,6200940
11-1011,Chief executives,,346590
11-1021,General and operations managers,,1752910
11-1031,Legislators,,63440
11-2011,Advertising and promotions managers,,57100
11-2021,Marketing managers,,177550
11-2022,Sales managers,,320240
11-2031,Public relations managers,,50670
11-3011,Administrative services managers,,254610
11-3021,Computer and information systems managers,,267390
11-3031,Financial managers,,493360
11-3041,Compensation and benefits managers,,55040
11-3042,Training and development managers,,35510
11-3049,"Human resources managers, all other",,58770
11-3051,Industrial production managers,,155980
11-3061,Purchasing managers,,73480
11-3071,"Transportation, storage, and distribution managers",,88100
11-9011,"Farm, ranch, and other agricultural managers",,4810
11-9012,Farmers and ranchers,,540
11-9021,Construction managers,,185580
11-9031,"Education administrators, preschool and child care center/program",,50590
11-9032,"Education administrators, elementary and secondary school",,209630
11-9033,"Education administrators, postsecondary",,101530
11-9039,"Education administrators, all other",,22570
11-9041,Engineering managers,,186380
11-9051,Food service managers,,206340
11-9061,Funeral directors,,23140
11-9071,Gaming managers,,3520
11-9081,Lodging managers,,30860
11-9111,Medical and health services managers,,224070
11-9121,Natural sciences managers,,40240
11-9131,Postmasters and mail superintendents,,26430
11-9141,"Property, real estate, and community association managers",,159980
11-9151,Social and community service managers,,119280
11-9199,"Managers, all other",,354730
13-0000,Business and financial operations occupations,major,5131840
13-1011,"Agents and business managers of artists, performers, and athletes",,10860
13-1021,"Purchasing agents and buyers, farm products",,14300
13-1022,"Wholesale and retail buyers, except farm products",,136930
13-1023,"Purchasing agents, except wholesale, retail, and farm products",,257070
13-1031,"Claims adjusters, examiners, and investigators",,234950
13-1032,"Insurance appraisers, auto damage",,12520
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",,167650
13-1051,Cost estimators,,191080
13-1061,Emergency management specialists,,10070
13-1071,"Employment, recruitment, and placement specialists",,169750
13-1072,"Compensation, benefits, and job analysis specialists",,92940
13-1073,Training and development specialists,,200440
13-1079,"Human resources, training, and labor relations specialists, all other",,158930
13-1081,Logisticians,,52470
13-1111,Management analysts,,416340
13-1121,Meeting and convention planners,,34640
13-1199,"Business operations specialists, all other",,847170
13-2011,Accountants and auditors,,995910
13-2021,Appraisers and assessors of real estate,,62270
13-2031,Budget analysts,,53300
13-2041,Credit analysts,,67100
13-2051,Financial analysts,,177780
13-2052,Personal financial advisors,,94490
13-2053,Insurance underwriters,,96110
13-2061,Financial examiners,,23400
13-2071,Loan counselors,,31160
13-2072,Loan officers,,278830
13-2081,"Tax examiners, collectors, and revenue agents",,71610
13-2082,Tax preparers,,51950
13-2099,"Financial specialists, all other",,119840
15-0000,Computer and mathematical occupations,major,2915300
15-1011,"Computer and information scientists, research",,24720
15-1021,Computer programmers,,412090
15-1031,"Computer software engineers, applications",,425890
15-1032,"Computer software engineers, systems software",,318020
15-1041,Computer support specialists,,488540
15-1051,Computer systems analysts,,489130
15-1061,Database administrators,,96960
15-1071,Network and computer systems administrators,,259320
15-1081,Network systems and data communications analysts,,169200
15-1099,"Computer specialists, all other",,130420
15-2011,Actuaries,,16350
15-2021,Mathematicians,,2410
15-2031,Operations research analysts,,55030
15-2041,Statisticians,,17030
15-2091,Mathematical technicians,,1720
15-2099,"Mathematical scientists, all other",,8500
17-0000,Architecture and engineering occupations,major,2372770
17-1011,"Architects, except landscape and naval",,94280
17-1012,Landscape architects,,17960
17-1021,Cartographers and photogrammetrists,,9870
17-1022,Surveyors,,52680
17-2011,Aerospace engineers,,73650
17-2021,Agricultural engineers,,3220
17-2031,Biomedical engineers,,8650
17-2041,Chemical engineers,,30320
17-2051,Civil engineers,,218220
17-2061,Computer hardware engineers,,74760
17-2071,Electrical engineers,,148310
17-2072,"Electronics engineers, except computer",,135560
