,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
0,00-0000,All Occupations,total,"137,896,660"
1,11-0000,Management Occupations,major,"6,936,990"
2,11-1000,Top Executives,minor,"2,439,900"
3,11-1010,Chief Executives,broad,"238,940"
4,11-1011,Chief Executives,detailed,"238,940"
5,11-1020,General and Operations Managers,broad,"2,145,140"
6,11-1021,General and Operations Managers,detailed,"2,145,140"
7,11-1030,Legislators,broad,"55,820"
8,11-1031,Legislators,detailed,"55,820"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"647,360"
10,11-2010,Advertising and Promotions Managers,broad,"29,340"
11,11-2011,Advertising and Promotions Managers,detailed,"29,340"
12,11-2020,Marketing and Sales Managers,broad,"557,640"
13,11-2021,Marketing Managers,detailed,"192,890"
14,11-2022,Sales Managers,detailed,"364,750"
15,11-2030,Public Relations and Fundraising Managers,broad,"60,380"
16,11-2031,Public Relations and Fundraising Managers,detailed,"60,380"
17,11-3000,Operations Specialties Managers,minor,"1,663,790"
18,11-3010,Administrative Services Managers,broad,"270,080"
19,11-3011,Administrative Services Managers,detailed,"270,080"
20,11-3020,Computer and Information Systems Managers,broad,"341,250"
21,11-3021,Computer and Information Systems Managers,detailed,"341,250"
22,11-3030,Financial Managers,broad,"531,120"
23,11-3031,Financial Managers,detailed,"531,120"
24,11-3050,Industrial Production Managers,broad,"169,390"
25,11-3051,Industrial Production Managers,detailed,"169,390"
26,11-3060,Purchasing Managers,broad,"72,600"
27,11-3061,Purchasing Managers,detailed,"72,600"
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,"109,210"
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"109,210"
30,11-3110,Compensation and Benefits Managers,broad,"15,930"
31,11-3111,Compensation and Benefits Managers,detailed,"15,930"
32,11-3120,Human Resources Managers,broad,"122,780"
33,11-3121,Human Resources Managers,detailed,"122,780"
34,11-3130,Training and Development Managers,broad,"31,430"
35,11-3131,Training and Development Managers,detailed,"31,430"
36,11-9000,Other Management Occupations,minor,"2,185,950"
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"4,370"
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"4,370"
39,11-9020,Construction Managers,broad,"239,640"
40,11-9021,Construction Managers,detailed,"239,640"
41,11-9030,Education Administrators,broad,"449,430"
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"46,760"
43,11-9032,"Education Administrators, Elementary and Secondary School",detailed,"235,110"
44,11-9033,"Education Administrators, Postsecondary",detailed,"135,690"
45,11-9039,"Education Administrators, All Other",detailed,"31,880"
46,11-9040,Architectural and Engineering Managers,broad,"179,770"
47,11-9041,Architectural and Engineering Managers,detailed,"179,770"
48,11-9050,Food Service Managers,broad,"201,370"
49,11-9051,Food Service Managers,detailed,"201,370"
50,11-9060,Funeral Service Managers,broad,"8,300"
51,11-9061,Funeral Service Managers,detailed,"8,300"
52,11-9070,Gaming Managers,broad,"3,950"
53,11-9071,Gaming Managers,detailed,"3,950"
54,11-9080,Lodging Managers,broad,"35,480"
55,11-9081,Lodging Managers,detailed,"35,480"
56,11-9110,Medical and Health Services Managers,broad,"314,950"
57,11-9111,Medical and Health Services Managers,detailed,"314,950"
58,11-9120,Natural Sciences Managers,broad,"53,450"
59,11-9121,Natural Sciences Managers,detailed,"53,450"
60,11-9130,Postmasters and Mail Superintendents,broad,"14,770"
61,11-9131,Postmasters and Mail Superintendents,detailed,"14,770"
62,11-9140,"Property, Real Estate, and Community Association Managers",broad,"174,410"
63,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"174,410"
64,11-9150,Social and Community Service Managers,broad,"119,770"
65,11-9151,Social and Community Service Managers,detailed,"119,770"
66,11-9160,Emergency Management Directors,broad,"9,840"
67,11-9161,Emergency Management Directors,detailed,"9,840"
68,11-9190,Miscellaneous Managers,broad,"376,440"
69,11-9199,"Managers, All Other",detailed,"376,440"
70,13-0000,Business and Financial Operations Occupations,major,"7,032,560"
71,13-1000,Business Operations Specialists,minor,"4,424,800"
72,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"13,230"
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"13,230"
74,13-1020,Buyers and Purchasing Agents,broad,"414,900"
75,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,"12,160"
76,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"111,200"
77,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"291,540"
78,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"286,870"
79,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"271,600"
80,13-1032,"Insurance Appraisers, Auto Damage",detailed,"15,270"
81,13-1040,Compliance Officers,broad,"257,010"
82,13-1041,Compliance Officers,detailed,"257,010"
83,13-1050,Cost Estimators,broad,"216,270"
