ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
0,00-0000,All Occupations,total,"144,733,270"
1,11-0000,Management Occupations,major,"7,616,650"
2,11-1000,Top Executives,minor,"2,535,640"
3,11-1010,Chief Executives,broad,"195,530"
4,11-1011,Chief Executives,detailed,"195,530"
5,11-1020,General and Operations Managers,broad,"2,289,770"
6,11-1021,General and Operations Managers,detailed,"2,289,770"
7,11-1030,Legislators,broad,"50,330"
8,11-1031,Legislators,detailed,"50,330"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"717,220"
10,11-2010,Advertising and Promotions Managers,broad,"25,260"
11,11-2011,Advertising and Promotions Managers,detailed,"25,260"
12,11-2020,Marketing and Sales Managers,broad,"619,500"
13,11-2021,Marketing Managers,detailed,"240,440"
14,11-2022,Sales Managers,detailed,"379,050"
15,11-2030,Public Relations and Fundraising Managers,broad,"72,460"
16,11-2031,Public Relations and Fundraising Managers,detailed,"72,460"
17,11-3000,Operations Specialties Managers,minor,"1,853,660"
18,11-3010,Administrative Services Managers,broad,"283,570"
19,11-3011,Administrative Services Managers,detailed,"283,570"
20,11-3020,Computer and Information Systems Managers,broad,"391,430"
21,11-3021,Computer and Information Systems Managers,detailed,"391,430"
22,11-3030,Financial Managers,broad,"608,120"
23,11-3031,Financial Managers,detailed,"608,120"
24,11-3050,Industrial Production Managers,broad,"181,310"
25,11-3051,Industrial Production Managers,detailed,"181,310"
26,11-3060,Purchasing Managers,broad,"69,490"
27,11-3061,Purchasing Managers,detailed,"69,490"
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,"124,810"
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"124,810"
30,11-3110,Compensation and Benefits Managers,broad,"15,660"
31,11-3111,Compensation and Benefits Managers,detailed,"15,660"
32,11-3120,Human Resources Managers,broad,"143,580"
33,11-3121,Human Resources Managers,detailed,"143,580"
34,11-3130,Training and Development Managers,broad,"35,690"
35,11-3131,Training and Development Managers,detailed,"35,690"
36,11-9000,Other Management Occupations,minor,"2,510,140"
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"4,770"
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"4,770"
39,11-9020,Construction Managers,broad,"278,460"
40,11-9021,Construction Managers,detailed,"278,460"
41,11-9030,Education Administrators,broad,"498,200"
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"50,650"
43,11-9032,"Education Administrators, Elementary and Secondary School",detailed,"263,120"
44,11-9033,"Education Administrators, Postsecondary",detailed,"143,430"
45,11-9039,"Education Administrators, All Other",detailed,"41,000"
46,11-9040,Architectural and Engineering Managers,broad,"188,290"
47,11-9041,Architectural and Engineering Managers,detailed,"188,290"
48,11-9050,Food Service Managers,broad,"219,160"
49,11-9051,Food Service Managers,detailed,"219,160"
50,11-9060,Funeral Service Managers,broad,"8,400"
51,11-9061,Funeral Service Managers,detailed,"8,400"
52,11-9070,Gaming Managers,broad,"4,300"
53,11-9071,Gaming Managers,detailed,"4,300"
54,11-9080,Lodging Managers,broad,"37,050"
55,11-9081,Lodging Managers,detailed,"37,050"
56,11-9110,Medical and Health Services Managers,broad,"372,670"
57,11-9111,Medical and Health Services Managers,detailed,"372,670"
58,11-9120,Natural Sciences Managers,broad,"60,260"
59,11-9121,Natural Sciences Managers,detailed,"60,260"
60,11-9130,Postmasters and Mail Superintendents,broad,"13,770"
61,11-9131,Postmasters and Mail Superintendents,detailed,"13,770"
